trip_id,started_at,ended_at,start_lat,start_lng,end_lat,end_lng
106,01-02-2023 05:49,01-02-2023 05:54,38.90293157,-76.99840486,38.90042674,-76.98825002
107,01-02-2023 05:49,01-02-2023 05:59,38.89696,-77.00493,38.888774,-77.028694
108,01-02-2023 05:49,01-02-2023 06:02,38.920387,-77.025672,38.908905,-77.04478
109,01-02-2023 05:51,01-02-2023 06:00,38.88532072,-77.1564272,38.887403,-77.176992
110,01-02-2023 05:51,01-02-2023 06:03,38.876893,-77.006072,38.89696,-77.00493
111,01-02-2023 05:52,01-02-2023 05:59,38.90864,-77.02277,38.89903234,-77.03335404
112,01-02-2023 05:53,01-02-2023 05:56,38.88992,-77.071301,38.89608691,-77.07145214
113,01-02-2023 05:53,01-02-2023 05:59,38.908578,-77.0323485,38.903584,-77.044789
114,01-02-2023 05:54,01-02-2023 06:00,38.9059,-77.0325,38.893511,-77.041544
115,01-02-2023 05:54,01-02-2023 06:09,38.93,-77,38.93668393,-77.02418089
116,01-02-2023 05:55,01-02-2023 06:03,38.899984,-76.992725,38.894972,-77.003135
117,01-02-2023 05:55,01-02-2023 06:06,38.884734,-77.093485,38.883921,-77.116817
118,01-02-2023 05:56,01-02-2023 06:06,38.87502274,-77.00575411,38.88637194,-77.01770067
119,01-02-2023 05:57,01-02-2023 06:07,38.92810467,-77.0238785,38.905303,-77.050264
120,01-02-2023 05:57,01-02-2023 06:15,38.923583,-77.050046,38.888255,-77.0494365
121,01-02-2023 05:58,01-02-2023 06:05,38.917716,-77.022684,38.911268,-77.041829
122,01-02-2023 05:58,01-02-2023 06:07,38.894972,-77.003135,38.895914,-77.026064
123,01-02-2023 06:00,01-02-2023 06:05,38.90042674,-76.98825002,38.90293157,-76.99840486
124,01-02-2023 06:01,01-02-2023 06:10,38.88732,-76.983569,38.89994163,-76.99489653
125,01-02-2023 06:02,01-02-2023 06:05,38.86,-77.05,38.86,-77.05
126,01-02-2023 06:02,01-02-2023 06:14,38.889365,-77.077294,38.888255,-77.0494365
127,01-02-2023 06:02,01-02-2023 06:15,38.80704,-77.059817,38.832431,-77.049772
128,01-02-2023 06:03,01-02-2023 06:15,38.863743,-77.013814,38.88637194,-77.01770067
129,01-02-2023 06:05,01-02-2023 06:10,38.9055785,-77.027313,38.90304,-77.019027
130,01-02-2023 06:05,01-02-2023 06:12,38.8963,-77.045,38.905303,-77.050264
131,01-02-2023 06:05,01-02-2023 06:13,38.90375,-77.06269,38.905303,-77.050264
132,01-02-2023 06:06,01-02-2023 06:09,38.885908,-76.991476,38.89222,-76.99602
133,01-02-2023 06:06,01-02-2023 06:14,38.912659,-77.017669,38.899703,-77.008911
134,01-02-2023 06:06,01-02-2023 06:24,38.92,-76.98,38.92,-76.98
135,01-02-2023 06:07,01-02-2023 06:24,38.92333,-77.0352,38.897446,-77.009888
